Restaurant Name,Address,Open/Close Times,Item Name,Description,Price
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Kadai Chicken,Chicken and onion bell pepper curry,$15.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Kothambar Chicken Curry,Chicken cooked in fresh coriander leaves and spices,$15.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Meen Kuzhambu,Tilapia OR pomfret fish cooked in freshly ground spices in South Indian style,$16.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Mangalore Shrimp Curry,Shrimp curry made from Indian spices and coconut,$18.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Kongunadu Chicken Curry,Bone chicken cooked with Coimbatore's special fresh masala and herbs,$15.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Egg Curry,"Boiled egg cooked with onion, tomato, and spices",$15.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Crab Masala Curry,Live blue crab cooked in ground masala and spices,$21.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Veg Dum Biriyani,Fresh vegetables cooked with basmati rice and homemade masala,$15.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Chicken Dum Biriyani,Slow-cooked chicken biryani with flavorful and aromatic layered rice,$17.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Special Chicken Dum Biriyani,Boneless chicken separately fried and added to flavorful dum biryani rice,$19.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Mutton Dum Biryani,Tender mutton pieces marinated in yogurt added to flavorful dum biryani rice,$19.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,TOC Yellow Dal Thali (Veg),"Moong dal curry served with side curry, naan, soups, dessert, appetizer, and appalam",$14.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,TOC Paneer Tikka Masala Thali (Veg),"Paneer tikka masala served with side curry, naan, soups, dessert, appetizer, and appalam",$15.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,TOC Chicken Thali (Non-Veg),"Chicken curry with side curry, naan, soups, dessert, appetizer, and appalam",$16.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,TOC Mutton Thali (Non-Veg),"Mutton curry served with side curry, naan, soups, dessert, appetizer, and appalam",$17.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,TOC Fish Thali (Non-Veg),"Fish curry served with side curry, naan, soups, dessert, appetizer, and appalam",$17.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,TOC Shrimp Thali (Non-Veg),"Shrimp curry served with side curry, naan, soups, dessert, appetizer, and appalam",$18.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Lime Soda,"Sweet, or salt.",$3.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Neer Moor,Butter milk.,$3.49
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Gulab Jamun,Fried dough balls soaked in sweet sugar syrup,$4.49
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Payasam,Vermicelli tropical pudding.,$4.49
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Kesari,"Made with sooji, milk, and dried grapes.",$4.49
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Rasmalai,Spongy cheese balls soaked in creamy cardamom-saffron milk,$4.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Badam Halwa,Almond paste with cheese and saffron,$4.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Halwa a la Mode,Warm almond halwa topped with kulfi,$5.99
Taste of Chennai,"39 W John St, Hicksville, NY 11801, United States",Mon-Sun: 11:30 am to 10:30 pm,Kulfi,Frozen dairy with almonds,$2.99
