Restaurant Name,Address,Open/Close Times,Item Name,Description,Price
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Malgudi Rava Masala,"(semolina crepe w/ spice, chutney, ghee, onion, chilli & cheese)",$11.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Chetti Pondicherry Dosa *,(ghee sauteed spicy crepe rolled w/potato masala w/cooked onion & garlic),$11.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Pesaru Attu *,"(moong dal crepe w/chopped onion & chilli cooked w/ghee, served w/uppuma)",$9.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Aloo Gobi,(potatoes & cauliflower cooked w/ spices),$7.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Aloo Mattar,(potatoes & green peas cooked w/ spices),$7.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Aloo Palak,(potatoes & spinach cooked w/ spices),$7.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Channa Masala,(chick peas coomked w/ spices),$7.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Dal Palak,(lentil cooked w/ spices),$7.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Egg Plant Curry,(fresh eggplant cooked w/ spices),$7.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Mattar Panneer,(peas cooked w/ cottage cheese & spices),$7.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Methi Mattar,(peas cooked w/ methi leaves & spices),$7.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Palak Panneer,(spinach cooked w/ cottage cheese & spices),$7.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Mix Veg Curry,(mix vegetables cooked w/ special spices),$7.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Veg Kofta,(veg. balls w/ spices),$7.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Veg. Korma,(vegetables cooked w/ coconut & spices),$7.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Kadai Panneer,(cottage cheese cooked w/ spices),$7.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Mushroom Mattar,(mushroom cooked w/ peas & spices),$7.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Tofu Curry,(tofu cooked w/ special spices),$7.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Mix Veg Uthappam,"(onion, tomato, chilly, coriander & peas)",$8.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Gunpowder Uthappam *,"(pan cake w/ onion, chilly & milakai podi topping)",$8.95
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Side Orders,"milakai podi, sambar or chutney or yogurt or raita",$1.00
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Badam Halwa,w/ vanila ice cream (on side $2 extra),$4.00
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Carrot Halwa,w/ mango ice cream (on side $2 extra),$4.00
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Gulab Jamun,(solidified milk balls deep fried w/ sugar & syrup),$3.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Ice Cream,(vanila or mango or chocolate or soy vanila),$3.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Kulfi,(malai-indian),$3.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Lychee Fruits,w/ vanila ice cream,$4.00
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Payasam,(vermicelli & tapioca pudding),$3.50
House of Dosas,"416 S Broadway Hicksville, NY 11801",Mon-Sun: 11:30 AM - 9:00 PM,Rasamalai,(home made cottage cheese in rose flavoured milk),$3.50
